problem size: num_tokens=1024 d_model=512 d_ff=128 num_experts=512 top_k=2 (300 iterations)
Optimized time: 0.783651 s
Result is correct! (rel RMSE: 0.000246886, worst token: 0.00843211 at 499)
[ perf record: Woken up 2 times to write data ]
[ perf record: Captured and wrote 0.702 MB /tmp/s4_perf.data (18233 samples) ]
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles:Pu'
# Event count (approx.): 48909740168
#
# Overhead  Source:Line                     
# ........  ................................
#
     0.02%  moe_opt.cpp:2417
     0.02%  moe_opt.cpp:2421
     0.02%  atomic_base.h:631
     0.02%  e_expf.c:103
     0.02%  ??:0
     0.02%  e_logf.c:76
     0.02%  random.tcc:1834
     0.02%  cmath:327
     0.02%  e_logf.c:80
     0.02%  e_expf.c:100
     0.02%  random.tcc:3371
     0.02%  moe_ref.cpp:89
     0.02%  moe_opt.cpp:2356
     0.02%  random.tcc:462
     0.02%  moe_opt.cpp:2710
     0.02%  memmove-vec-unaligned-erms.S:344
     0.02%  moe_opt.cpp:2729
     0.02%  memmove-vec-unaligned-erms.S:461
     0.02%  avx512fintrin.h:4360
     0.02%  moe_opt.cpp:2413
     0.02%  memmove-vec-unaligned-erms.S:345
     0.02%  memmove-vec-unaligned-erms.S:301
     0.02%  random.tcc:1831
     0.02%  e_logf.c:86
     0.02%  random.tcc:1832
     0.02%  random.tcc:1820
     0.01%  moe_ref.cpp:80
     0.01%  moe_ref.cpp:41
     0.01%  moe_ref.cpp:40
     0.01%  moe_opt.cpp:2718
     0.01%  moe_opt.cpp:2762
     0.01%  moe_opt.cpp:2760
     0.01%  amxtileintrin.h:42
     0.01%  math_config.h:116
     0.01%  moe_opt.cpp:746
     0.01%  moe_opt.cpp:2324
     0.01%  moe_opt.cpp:2713
     0.01%  moe_opt.cpp:2700
     0.01%  moe_opt.cpp:2573
     0.01%  moe_opt.cpp:784
     0.01%  moe_opt.cpp:2299
     0.01%  moe_opt.cpp:2753
     0.01%  moe_opt.cpp:2521
     0.01%  memmove-vec-unaligned-erms.S:291
     0.01%  moe_opt.cpp:769
     0.01%  memmove-vec-unaligned-erms.S:342
     0.01%  memmove-vec-unaligned-erms.S:364
     0.01%  random.tcc:1822
     0.01%  e_logf.c:72
     0.01%  random.tcc:1837
     0.01%  e_logf.c:75
     0.01%  e_logf.c:87
     0.01%  moe_opt.cpp:176
     0.01%  moe_ref.cpp:39
     0.01%  lrintf@plt+0
     0.01%  moe_ref.cpp:90
     0.01%  moe_ref.cpp:49
     0.01%  uniform_int_dist.h:269
     0.01%  moe_ref.cpp:30
     0.01%  moe_opt.cpp:2761
     0.01%  moe_opt.cpp:2595
     0.01%  moe_opt.cpp:2736
     0.01%  moe_opt.cpp:2478
     0.01%  memmove-vec-unaligned-erms.S:265
     0.01%  memset-vec-unaligned-erms.S:297
     0.01%  e_expf.c:102
     0.01%  moe_opt.cpp:689
     0.01%  memmove-vec-unaligned-erms.S:315
     0.01%  moe_opt.cpp:2302
     0.01%  moe_opt.cpp:2607
     0.01%  avx512fintrin.h:4730
     0.01%  memmove-vec-unaligned-erms.S:305
     0.01%  memset-vec-unaligned-erms.S:333
     0.01%  moe_opt.cpp:2420
     0.01%  memmove-vec-unaligned-erms.S:290
     0.01%  memmove-vec-unaligned-erms.S:287
     0.01%  moe_opt.cpp:691
     0.01%  moe_opt.cpp:2492
     0.01%  moe_opt.cpp:2717
     0.01%  data.cpp:44
     0.01%  moe_opt.cpp:2318
     0.01%  moe_opt.cpp:2689
     0.01%  avx512fintrin.h:7324
     0.01%  moe_opt.cpp:2395
     0.01%  moe_opt.cpp:2668
     0.01%  memmove-vec-unaligned-erms.S:308
     0.01%  moe_opt.cpp:2517
     0.01%  e_expf.c:101
     0.01%  moe_opt.cpp:2488
     0.01%  moe_opt.cpp:690
     0.01%  memmove-vec-unaligned-erms.S:486
     0.01%  memmove-vec-unaligned-erms.S:256
     0.01%  moe_opt.cpp:2767
     0.01%  memmove-vec-unaligned-erms.S:367
     0.01%  moe_opt.cpp:2751
     0.01%  moe_opt.cpp:2489
     0.01%  moe_opt.cpp:2770
     0.01%  moe_opt.cpp:2360
     0.01%  memset-vec-unaligned-erms.S:294
     0.01%  random.tcc:407
     0.01%  random.tcc:3370
     0.01%  random.tcc:1830
     0.01%  e_logf.c:83
     0.01%  random.tcc:1842
     0.01%  e_logf.c:84
     0.01%  e_logf.c:85
     0.01%  logf@plt+0
     0.01%  random.tcc:423
     0.01%  e_logf.c:79
     0.01%  s_llrintf.S:26
     0.00%  moe_opt.cpp:2357
     0.00%  moe_opt.cpp:175
     0.00%  moe_opt.cpp:172
     0.00%  dl-new-hash.h:101
     0.00%  getrandom.c:238
     0.00%  data.cpp:37


#
# (Tip: To record callchains for each sample: perf record -g)
#
